,id,tf
114,ELK1_HUMAN.H11MO.0.B,ELK1
115,ELK3_HUMAN.H11MO.0.D,ELK3
116,ELK4_HUMAN.H11MO.0.A,ELK4
117,EMX1_HUMAN.H11MO.0.D,EMX1
118,EMX2_HUMAN.H11MO.0.D,EMX2
119,EOMES_HUMAN.H11MO.0.D,EOMES
120,EPAS1_HUMAN.H11MO.0.B,EPAS1
121,ERG_HUMAN.H11MO.0.A,ERG
122,ERR1_HUMAN.H11MO.0.A,ESRRA
123,ERR2_HUMAN.H11MO.0.A,ESRRB
124,ERR3_HUMAN.H11MO.0.B,ESRRG
125,ESR1_HUMAN.H11MO.0.A,ESR1
126,ESR1_HUMAN.H11MO.1.A,ESR1
127,ESR2_HUMAN.H11MO.0.A,ESR2
128,ESR2_HUMAN.H11MO.1.A,ESR2
129,ESX1_HUMAN.H11MO.0.D,ESX1
130,ETS1_HUMAN.H11MO.0.A,ETS1
131,ETS2_HUMAN.H11MO.0.B,ETS2
132,ETV1_HUMAN.H11MO.0.A,ETV1
133,ETV2_HUMAN.H11MO.0.B,ETV2
134,ETV3_HUMAN.H11MO.0.D,ETV3
135,ETV4_HUMAN.H11MO.0.B,ETV4
136,ETV5_HUMAN.H11MO.0.C,ETV5
137,ETV6_HUMAN.H11MO.0.D,ETV6
138,ETV7_HUMAN.H11MO.0.D,ETV7
139,EVI1_HUMAN.H11MO.0.B,MECOM
